"Source:","/Users/cyprienh/Documents/1 - INSA/5A/Sensors/Gas_Sensor/Gas_Sensor.kicad_sch"
"Date:","Wednesday, December 13, 2023 at 08:09:01â€¯AM"
"Tool:","Eeschema 7.0.9"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","18"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","A1","Arduino_Uno_R3_Shield","PCM_arduino-library:Arduino_Uno_R3_Shield","PCM_arduino-library:Arduino_Uno_R3_Shield","https://docs.arduino.cc/hardware/uno-rev3",""
"2","3","C1, C2, C3","100n","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~",""
"3","1","C4","1u","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~",""
"4","1","J1","Conn_01x07","Connector_Generic:Conn_01x07","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~",""
"5","1","Q1","IRF520","Transistor_FET:IRF540N","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf540n.pdf",""
"6","2","R1, R3","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"7","2","R4, R7","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"8","2","R5, R8","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"9","1","R6","100","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"10","1","SW1","SW_SPDT","Switch:SW_SPDT","Gas:SLW12768644AD","~",""
"11","1","U1","Capteur_Gaz","Gas:gas_sensor","Package_TO_SOT_THT:TO-5-10","",""
"12","1","U2","~","Gas:LTC1050","Package_DIP:DIP-8_W7.62mm","",""
"13","1","U3","MCP41100","Potentiometer_Digital:MCP41100","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/11195c.pdf",""
